Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2004,1076.00,1338.00,958.55,1335.50,47397004,1162694,51266914295.00,12109331,25.55,379.45,259.50,
2005,1349.80,1750.85,1091.00,1702.45,63160750,1422277,84809899203.00,20531913,32.51,659.85,352.65,
2006,1707.00,2099.00,900.00,1218.60,57116956,1640999,79851718555.00,29973413,52.48,1199.00,-488.40,
2007,1250.00,1399.00,935.00,1083.35,79522052,1747807,92570784422.00,50158624,63.08,464.00,-166.65,
2008,1065.10,1078.00,418.00,478.10,75871717,2106962,56944484110.00,28717825,37.85,660.00,-587.00,
2009,485.00,805.00,355.25,749.75,108462189,2084765,60476861965.00,39724991,36.63,449.75,264.75,
2010,750.70,1179.00,692.00,1165.05,62694021,1396016,53121079184.00,26982541,43.04,487.00,414.35,
2011,1165.00,1247.00,902.90,1161.25,50122536,1903284,55627676107.00,16354716,32.63,344.10,-3.75,
2012,1155.15,1438.00,1046.55,1258.55,35695684,1362552,43607787115.00,14942552,41.86,391.45,103.40,
2013,1268.00,2258.05,1255.00,2170.95,31269625,1672640,52925555188.00,12284320,39.29,1003.05,902.95,
2014,2180.00,2834.00,2000.50,2554.70,23589135,2149541,54854681400.00,9657691,40.94,833.50,374.70,
2015,2554.35,2810.00,2316.65,2433.35,19807559,1589117,50096845044.00,9412400,47.52,493.35,-121.00,
2016,2432.10,2740.00,2054.70,2361.95,22454635,1091505,53619879421.00,12977264,57.79,685.30,-70.15,
2017,2365.00,2774.00,2154.30,2700.40,20975708,846470,51317289605.00,11376111,54.23,619.70,335.40,
2018,2689.80,3254.80,2622.70,2957.15,11121610,295053,33069311074.00,5617055,50.51,632.10,267.35,
